datetime,I_sg,CH14,CH15,T_0,T_270,T_90,T_180,I_aps,mf,CH7,CH8,pw,elapsed_time,Isg,eta,T_0_smooth,T_0_dTdt,T_90_smooth,T_90_dTdt,T_180_smooth,T_180_dTdt,T_270_smooth,T_270_dTdt
2025/10/25 10:09,9.99,24.1,0.4009,26.9,27.2,27.5,26.9,-0.9664,22.77862372,4.88,0.174,1.890363777,63,3.270522892,3.05455743,26.90768327,0.020038048,27.68667724,0.024296036,26.98201414,0.019351281,27.24570288,0.020698087
2025/10/25 10:09,10,24.1,0.4024,26.9,27.2,27.5,26.9,-0.9684,22.89481794,4.88,0.171,1.891237792,64,3.283040853,3.045956614,26.9277077,0.020010828,27.71095187,0.024253238,27.00134608,0.019312615,27.26638534,0.020666847
2025/10/25 10:09,10,24.1,0.4035,26.9,27.2,27.6,26.9,-0.9691,22.98017376,4.88,0.17,1.891528919,65,3.290645101,3.038917809,26.94770494,0.01998366,27.73518375,0.024210543,27.02063941,0.019274064,27.28703659,0.020635677
2025/10/25 10:09,10,24.1,0.4024,26.9,27.2,27.7,27,-0.9671,22.89481794,4.88,0.172,1.890946559,66,3.282646614,3.046322427,26.96767504,0.019956542,27.75937299,0.024167952,27.03989425,0.019235626,27.30765671,0.020604575
2025/10/25 10:09,9.99,24.1,0.4024,27,27.3,27.7,27,-0.9667,22.89481794,4.88,0.17,1.891528919,67,3.283434948,3.042545431,26.98761804,0.019929475,27.78351969,0.024125464,27.0591107,0.019197303,27.32824577,0.020573543
2025/10/25 10:09,9.99,24.1,0.4024,27,27.4,27.7,27,-0.9671,22.89481794,4.88,0.17,1.891528919,68,3.283434948,3.042545431,27.007534,0.019902459,27.80762395,0.02408308,27.07828889,0.019159095,27.34880382,0.02054258
2025/10/25 10:09,10,24.1,0.4058,27,27.4,27.8,27,-0.9684,23.1590462,4.88,0.171,1.891237792,69,3.303825491,3.026794251,27.02742297,0.019875493,27.83168588,0.024040798,27.09742893,0.019121001,27.36933095,0.020511686
2025/10/25 10:09,10,24.1,0.4024,27,27.4,27.8,27.1,-0.9681,22.89481794,4.88,0.174,1.890363777,70,3.281857708,3.047054714,27.04728501,0.019848578,27.85570558,0.02399862,27.11653093,0.019083022,27.38982722,0.020480861
2025/10/25 10:09,9.99,24.1,0.4024,27,27.4,27.8,27.1,-0.9667,22.89481794,4.88,0.171,1.891237792,71,3.283040853,3.042910657,27.06712015,0.019821715,27.87968316,0.023956546,27.13559501,0.019045157,27.41029269,0.020450106
2025/10/25 10:09,9.98,24.1,0.4028,27,27.4,27.9,27.1,-0.9651,22.92584205,4.87,0.171,1.884978383,72,3.276997515,3.045470725,27.08692845,0.019794902,27.90361871,0.023914574,27.15462128,0.019007406,27.43072745,0.020419419
